date,rate
2015/9/1,5.2
2015/10/1,5.1
2015/11/1,5.1
2015/12/1,5.1
2016/1/1,5.1
2016/2/1,5.1
2016/3/1,5.1
2016/4/1,5
2016/5/1,5
2016/6/1,4.9
2016/7/1,4.9
2016/8/1,4.9
2016/9/1,4.9
2016/10/1,4.8
2016/11/1,4.8
2016/12/1,4.8
2017/1/1,4.8
2017/2/1,4.7
2017/3/1,4.7
2017/4/1,4.6
2017/5/1,4.6
2017/6/1,4.6
2017/7/1,4.6
2017/8/1,4.6
2017/9/1,4.5
2017/10/1,4.5
2017/11/1,4.4
2017/12/1,4.4
2018/1/1,4.4
2018/2/1,4.3
2018/3/1,4.3
2018/4/1,4.2
2018/5/1,4.2
2018/6/1,4.2
2018/7/1,4.1
2018/8/1,4.1
2018/9/1,4
2018/10/1,4.1
2018/11/1,4
2018/12/1,4
2019/1/1,4
2019/2/1,3.9
2019/3/1,3.9
2019/4/1,3.8
2019/5/1,3.8
2019/6/1,3.8
2019/7/1,3.8
2019/8/1,3.8
2019/9/1,3.8
2019/10/1,3.8
2019/11/1,3.8
2019/12/1,3.8
2020/1/1,3.8
2020/2/1,3.9
2020/3/1,4
2020/4/1,4.5
2020/5/1,4.9
2020/6/1,5.2
2020/7/1,5.5
2020/8/1,5.7
2020/9/1,5.9
2020/10/1,5.9
2020/11/1,5.8
2020/12/1,5.7
2021/1/1,5.7
2021/2/1,5.5
2021/3/1,5.2
2021/4/1,4.9
2021/5/1,4.7
2021/6/1,4.7
2021/7/1,4.6
2021/8/1,4.6
2021/9/1,4.5
2021/10/1,4.4
2021/11/1,4.2
2021/12/1,4.1
2022/1/1,4.1
2022/2/1,3.9
2022/3/1,3.8
2022/4/1,3.7
2022/5/1,3.8
2022/6/1,3.8
2022/7/1,3.6
2022/8/1,3.5
2022/9/1,3.5
2022/10/1,3.6
2022/11/1,3.7
2022/12/1,3.7
2023/1/1,3.7
2023/2/1,3.8
2023/3/1,3.9
2023/4/1,3.9
2023/5/1,4
2023/6/1,4.2
2023/7/1,4.3
2023/8/1,4.3
2023/9/1,4.2
2023/10/1,4.2
2023/11/1,4.2
2023/12/1,4.3
2024/1/1,4.4
2024/2/1,4.5
2024/3/1,4.6
2024/4/1,4.6
2024/5/1,4.7
2024/6/1,4.7
2024/7/1,4.8
2024/8/1,5
2024/9/1,5.1
2024/10/1,5.1
2024/11/1,5.2
2024/12/1,5.3
2025/1/1,5.3
2025/2/1,5.3
2025/3/1,5.2
2025/4/1,5
2025/5/1,4.7
2025/6/1,4.7
2025/7/1,4.8
2025/8/1,5
2025/9/1,5.1
